nll_mean,nli_flag_gpt_label,nli_flag_ent_label,nll_ent_0,nll_ent_1,nll_ent_-1,mi_mean,nli_flag_ent_output,mi_ent_0,mi_ent_1,mi_ent_-1
0.0395918722081537,No,1,0.0396434294806896,4.7444173105759546e-05,,2.2776428535580635,-1,2.243244128867576,,28.66146469116211
0.023722632843351,No,1,0.023722632843351,,,0.8332215795914332,1,0.8332215795914332,,
0.0555319803639046,No,1,0.0555319803639046,,,1.6755046099424362,1,1.6755046099424362,,
0.0169659478734835,No,1,0.0169659478734835,,,0.3153329944858948,1,0.3153329944858948,,
0.01356715925469,No,1,0.01356715925469,,,0.0673258863389492,1,0.0673258863389492,,
0.0126490253190661,No,1,0.0126490253190661,,,0.9588673648734888,1,0.9588673648734888,,
0.0231415364814734,No,1,0.0231415364814734,,,0.8345925187071165,1,0.8345925187071165,,
0.0142196553345878,No,1,0.0142196553345878,,,0.4079071097075939,1,0.4079071097075939,,
0.0106413848393666,No,1,0.0106413848393666,,,0.2908540144562721,1,0.2908540144562721,,
0.0224659285228724,No,1,0.0224659285228724,,,0.5948207061737776,1,0.5948207061737776,,
0.0161238325845852,No,1,0.0161238325845852,,,0.7205029303828875,1,0.7205029303828875,,
0.038208094412789,No,1,0.038208094412789,,,-0.044596305117011,1,-0.044596305117011,,
0.0167487982678989,No,1,0.0167487982678989,,,0.3096329501519601,1,0.3096329501519601,,
0.0188737989908736,No,1,0.0188737989908736,,,1.0072604566812515,1,1.0072604566812515,,
0.0445137625417045,No,1,0.0445137625417045,,,1.304258515437444,1,1.304258515437444,,
0.0258303344441289,No,1,0.0258303344441289,,,0.7328627823541561,1,0.7328627823541561,,
0.0146246928311512,No,1,0.0146246928311512,,,0.1359569237877925,1,0.1359569237877925,,
0.0149241900603871,No,1,0.0149241900603871,,,1.509662884597977,1,1.509662884597977,,
0.0125926879507695,No,1,0.0125926879507695,,,0.8559846331675848,1,0.8559846331675848,,
0.0176489108260025,No,1,0.0176489108260025,,,0.9467574898153543,1,0.9467574898153543,,
0.0259447083219097,No,1,0.0259447083219097,,,1.3698327858000994,1,1.3698327858000994,,
0.0248788446155697,No,1,0.0248788446155697,,,0.7429176593820254,1,0.7429176593820254,,
0.0394171361167272,No,1,0.0394171361167272,,,0.2285884867111841,1,0.2285884867111841,,
0.0177976153687065,No,1,0.0177976153687065,,,0.680132981389761,1,0.680132981389761,,
0.0668648513406307,No,1,0.0668648513406307,,,1.050934608404835,1,1.050934608404835,,
0.068397007275621,No,1,0.068397007275621,,,2.3358495819071927,1,2.3358495819071927,,
0.0242036256997229,No,1,0.0242036256997229,,,0.3969997502863407,1,0.3969997502863407,,
0.0302351772911042,Yes,1,0.0302351772911042,,,0.2097909289101759,1,0.2097909289101759,,
0.0778059425730947,No,1,0.0778059425730947,,,1.0918569459269445,1,1.0918569459269445,,
0.0239301622667208,No,1,0.0239301622667208,,,0.1862944221744934,1,0.1862944221744934,,
